sample,assay
20190614_1237_icab_hdr_L,open_field
20190615_1145_icab_hni_R,novel_object
20190616_1325_icab_hni_R,novel_object
20190611_1552_icab_hni_R,open_field
20190616_0948_icab_hdr_L,open_field
20190614_1208_icab_icab_L,novel_object
20190612_0952_icab_icab_R,novel_object
20190613_1054_icab_hdr_R,novel_object
20190612_1534_icab_hdr_R,open_field
20190615_1236_icab_hdr_R,open_field
20190616_1017_icab_kaga_R,novel_object
20190616_1506_icab_hni_L,novel_object
20190615_1305_icab_ho5_R,open_field
20190612_1501_icab_icab_R,open_field
20190614_1430_icab_hdr_L,novel_object
20190612_1604_icab_hni_R,open_field
20190611_1331_icab_icab_R,novel_object
20190615_1210_icab_ho5_R,open_field
20190616_1135_icab_kaga_R,novel_object
20190613_1546_icab_hni_R,novel_object
